Designator,Mid X,Mid Y,Rotation,Layer
BT1,28.7,-77.73,0.0,top
BT2,30.8,-84.395,0.0,top
C1,67.8,-56.1,270.0,top
C10,86.35,-53.1,180.0,top
C11,92.927401,-54.1,0.0,top
C12,84.6,-98.0,90.0,top
C13,66.3,-105.7,90.0,top
C14,101.8,-90.5,90.0,top
C2,74.8,-64.5,180.0,top
C3,52.5,-60.3,270.0,top
C4,68.2,-85.7,270.0,top
C5,58.2,-91.9,180.0,top
C6,72.8,-89.0,0.0,top
C7,33.0,-75.4726,90.0,top
C8,35.8,-84.4,270.0,top
C9,40.8,-73.9,180.0,top
D1,41.8,-100.6,90.0,top
D2,68.905,-115.7,270.0,top
LS1,86.545,-49.4,90.0,top
M1,38.0,-100.505,180.0,top
Q1,58.23,-69.9,0.0,top
Q2,64.87,-69.7,0.0,top
Q3,51.23,-93.5,0.0,top
Q4,100.33,-65.9,0.0,top
Q5,94.7,-60.76,0.0,top
Q6,100.73,-77.2,0.0,top
Q7,94.23,-72.5,0.0,top
R1,61.0,-45.0,90.0,top
R10,67.8,-78.5,90.0,top
R11,41.8,-82.6,90.0,top
R12,50.1,-80.1,0.0,top
R13,50.06,-85.4,0.0,top
R14,44.7,-82.64,270.0,top
R15,88.0,-64.65,0.0,top
R16,88.0,-67.8,0.0,top
R17,93.86,-80.75,0.0,top
R18,93.86,-83.9,0.0,top
R19,60.2,-114.8,180.0,top
R2,46.06,-52.2,0.0,top
R3,46.0,-56.0,0.0,top
R4,45.8,-59.9,0.0,top
R5,68.4,-64.3,0.0,top
R6,53.5,-74.2,0.0,top
R7,71.8,-72.4,180.0,top
R8,71.8,-69.25,180.0,top
R9,58.7,-96.3,180.0,top
RV1,52.16,-46.0,90.0,top
RV2,69.2,-42.6,90.0,top
RV3,39.4,-55.2,180.0,top
SW1,45.595,-107.1,90.0,top
SW2,50.295,-111.8,90.0,top
SW4,33.6,-93.305,180.0,top
U1,59.9,-56.4,180.0,top
U2,34.125,-66.085,90.0,top
U3,77.4,-103.7,0.0,top
U4,75.61,-56.31,180.0,top
U5,59.7,-84.41,180.0,top
U6,77.31,-81.41,180.0,top
U7,59.205,-107.0,0.0,top
U8,94.3,-95.9,0.0,top
